T,id,x,y,z
507.021,0,0.605,0,0
507.102,0.1001,0.605,0.1001,0
507.184,0.2002,0.605,0.2002,0
507.265,0.3003,0.605,0.3003,0
507.347,0.4004,0.605,0.4004,0
507.428,0.500501,0.605,0.500501,0
507.51,0.600601,0.605,0.600601,0
507.591,0.700701,0.605,0.700701,0
507.673,0.800801,0.605,0.800801,0
507.754,0.900901,0.605,0.900901,0
507.836,1.001,0.605,1.001,0
507.929,1.1011,0.605,1.1011,0
508.023,1.2012,0.605,1.2012,0
508.116,1.3013,0.605,1.3013,0
508.21,1.4014,0.605,1.4014,0
508.303,1.5015,0.605,1.5015,0
508.396,1.6016,0.605,1.6016,0
508.49,1.7017,0.605,1.7017,0
508.583,1.8018,0.605,1.8018,0
508.677,1.9019,0.605,1.9019,0
508.77,2.002,0.605,2.002,0
508.863,2.1021,0.605,2.1021,0
508.956,2.2022,0.605,2.2022,0
509.049,2.3023,0.605,2.3023,0
509.142,2.4024,0.605,2.4024,0
509.235,2.5025,0.605,2.5025,0
509.328,2.6026,0.605,2.6026,0
509.421,2.7027,0.605,2.7027,0
509.514,2.8028,0.605,2.8028,0
509.607,2.9029,0.605,2.9029,0
509.7,3.003,0.605,3.003,0
509.795,3.1031,0.605,3.1031,0
509.89,3.2032,0.605,3.2032,0
509.985,3.3033,0.605,3.3033,0
510.08,3.4034,0.605,3.4034,0
510.175,3.5035,0.605,3.5035,0
510.27,3.6036,0.605,3.6036,0
510.365,3.7037,0.605,3.7037,0
510.46,3.8038,0.605,3.8038,0
510.555,3.9039,0.605,3.9039,0
510.649,4.004,0.605,4.004,0
510.746,4.1041,0.605,4.1041,0
510.842,4.2042,0.605,4.2042,0
510.938,4.3043,0.605,4.3043,0
511.035,4.4044,0.605,4.4044,0
511.131,4.5045,0.605,4.5045,0
511.227,4.6046,0.605,4.6046,0
511.324,4.7047,0.605,4.7047,0
511.42,4.8048,0.605,4.8048,0
511.516,4.9049,0.605,4.9049,0
511.613,5.00501,0.605,5.00501,0
511.71,5.10511,0.605,5.10511,0
511.808,5.20521,0.605,5.20521,0
511.906,5.30531,0.605,5.30531,0
512.004,5.40541,0.605,5.40541,0
512.101,5.50551,0.605,5.50551,0
512.199,5.60561,0.605,5.60561,0
512.297,5.70571,0.605,5.70571,0
512.395,5.80581,0.605,5.80581,0
512.492,5.90591,0.605,5.90591,0
512.59,6.00601,0.605,6.00601,0
512.689,6.10611,0.605,6.10611,0
512.788,6.20621,0.605,6.20621,0
512.887,6.30631,0.605,6.30631,0
512.987,6.40641,0.605,6.40641,0
513.086,6.50651,0.605,6.50651,0
513.185,6.60661,0.605,6.60661,0
513.284,6.70671,0.605,6.70671,0
513.383,6.80681,0.605,6.80681,0
513.482,6.90691,0.605,6.90691,0
513.581,7.00701,0.605,7.00701,0
513.682,7.10711,0.605,7.10711,0
513.782,7.20721,0.605,7.20721,0
513.882,7.30731,0.605,7.30731,0
513.983,7.40741,0.605,7.40741,0
514.083,7.50751,0.605,7.50751,0
514.184,7.60761,0.605,7.60761,0
514.284,7.70771,0.605,7.70771,0
514.384,7.80781,0.605,7.80781,0
514.485,7.90791,0.605,7.90791,0
514.585,8.00801,0.605,8.00801,0
514.687,8.10811,0.605,8.10811,0
514.789,8.20821,0.605,8.20821,0
514.89,8.30831,0.605,8.30831,0
514.992,8.40841,0.605,8.40841,0
515.093,8.50851,0.605,8.50851,0
515.195,8.60861,0.605,8.60861,0
515.297,8.70871,0.605,8.70871,0
515.398,8.80881,0.605,8.80881,0
515.5,8.90891,0.605,8.90891,0
515.602,9.00901,0.605,9.00901,0
515.705,9.10911,0.605,9.10911,0
515.807,9.20921,0.605,9.20921,0
515.91,9.30931,0.605,9.30931,0
516.013,9.40941,0.605,9.40941,0
516.116,9.50951,0.605,9.50951,0
516.219,9.60961,0.605,9.60961,0
516.322,9.70971,0.605,9.70971,0
516.424,9.80981,0.605,9.80981,0
516.527,9.90991,0.605,9.90991,0
