time,max_temperature
1,671.41578286837
2,788.53480857486
3,898.76315837066
4,1000.3783371984
5,1092.6118525967
6,1175.4236893375
7,1249.2304581039
8,1314.6906503139
9,1372.5623670513
10,1423.6185693386
11,1468.6008879447
12,1508.1970993646
13,1543.0323116786
14,1573.6677100567
15,1600.6036723113
16,1624.3232065533
17,1646.4843614379
18,1681.1604056605
19,1770.2208954436
20,1902.1308598807
21,1978.4439985608
22,1989.6929821078
23,1980.1926349649
24,1966.049694417
25,1950.4260545394
26,1934.683432074
27,1919.6214081369
28,1905.6562460134
29,1892.9582682371
30,1881.5534289555
31,1871.3895911544
32,1862.3766922537
33,1854.4098603624
34,1847.3821117107
35,1841.1909340358
36,1835.7413860724
37,1830.9472652137
38,1826.7312390345
39,1823.0244489235
40,1819.7658695796
41,1816.901579651
42,1814.3840259938
43,1812.1713231689
44,1810.2266071581
45,1808.5174499519
46,1807.0153351566
47,1805.6951915014
48,1804.5349796623
49,1803.515327324
50,1802.6192074221
51,1801.8316547793
52,1801.1395167386
53,1800.5312338181
54,1799.9966468327
55,1799.5268273227
56,1799.1139284917
57,1798.7510541842
58,1798.4321437261
59,1798.1518707102
60,1797.9055540421
61,1797.6890797595
62,1797.4988323234
63,1797.3316342329
64,1797.1846929552
65,1797.0555542852
66,1796.9420613557
67,1796.8423186138
68,1796.7546601616
69,1796.6776219319
70,1796.6099172363
71,1796.5504152745
72,1796.4981222476
73,1796.4521647603
74,1796.4117752329
75,1796.3762790816
76,1796.3450834515
77,1796.3176673148
78,1796.2935727685
79,1796.2723973867
80,1796.2537874994
81,1796.2374322851
82,1796.2230585799
83,1796.2104263148
84,1796.1993245065
85,1796.1895677331
86,1796.1809930374
87,1796.1734572053
88,1796.1668343738
89,1796.1610139287
90,1796.1558986571
91,1796.1514031241
92,1796.1474522454
93,1796.1439800338
94,1796.1409284966
95,1796.138246667
96,1796.1358897534
97,1796.1338183906
98,1796.1319979829
99,1796.130398126
100,1796.128992099
