T,id,x,y,z
888.333,0,0,0,0
890.245,0.1001,0,0.1001,0
892.158,0.2002,0,0.2002,0
894.071,0.3003,0,0.3003,0
895.983,0.4004,0,0.4004,0
897.896,0.500501,0,0.500501,0
899.809,0.600601,0,0.600601,0
901.721,0.700701,0,0.700701,0
903.634,0.800801,0,0.800801,0
905.547,0.900901,0,0.900901,0
907.465,1.001,0,1.001,0
909.904,1.1011,0,1.1011,0
912.344,1.2012,0,1.2012,0
914.783,1.3013,0,1.3013,0
917.223,1.4014,0,1.4014,0
919.662,1.5015,0,1.5015,0
922.102,1.6016,0,1.6016,0
924.541,1.7017,0,1.7017,0
926.981,1.8018,0,1.8018,0
929.42,1.9019,0,1.9019,0
931.858,2.002,0,2.002,0
934.204,2.1021,0,2.1021,0
936.551,2.2022,0,2.2022,0
938.898,2.3023,0,2.3023,0
941.245,2.4024,0,2.4024,0
943.592,2.5025,0,2.5025,0
945.938,2.6026,0,2.6026,0
948.285,2.7027,0,2.7027,0
950.632,2.8028,0,2.8028,0
952.979,2.9029,0,2.9029,0
955.325,3.003,0,3.003,0
957.657,3.1031,0,3.1031,0
959.988,3.2032,0,3.2032,0
962.32,3.3033,0,3.3033,0
964.651,3.4034,0,3.4034,0
966.982,3.5035,0,3.5035,0
969.314,3.6036,0,3.6036,0
971.645,3.7037,0,3.7037,0
973.977,3.8038,0,3.8038,0
976.308,3.9039,0,3.9039,0
978.639,4.004,0,4.004,0
980.944,4.1041,0,4.1041,0
983.249,4.2042,0,4.2042,0
985.554,4.3043,0,4.3043,0
987.859,4.4044,0,4.4044,0
990.164,4.5045,0,4.5045,0
992.469,4.6046,0,4.6046,0
994.774,4.7047,0,4.7047,0
997.079,4.8048,0,4.8048,0
999.384,4.9049,0,4.9049,0
1001.69,5.00501,0,5.00501,0
1003.97,5.10511,0,5.10511,0
1006.24,5.20521,0,5.20521,0
1008.52,5.30531,0,5.30531,0
1010.8,5.40541,0,5.40541,0
1013.08,5.50551,0,5.50551,0
1015.36,5.60561,0,5.60561,0
1017.64,5.70571,0,5.70571,0
1019.92,5.80581,0,5.80581,0
1022.19,5.90591,0,5.90591,0
1024.47,6.00601,0,6.00601,0
1026.72,6.10611,0,6.10611,0
1028.97,6.20621,0,6.20621,0
1031.22,6.30631,0,6.30631,0
1033.47,6.40641,0,6.40641,0
1035.72,6.50651,0,6.50651,0
1037.97,6.60661,0,6.60661,0
1040.22,6.70671,0,6.70671,0
1042.47,6.80681,0,6.80681,0
1044.72,6.90691,0,6.90691,0
1046.97,7.00701,0,7.00701,0
1049.19,7.10711,0,7.10711,0
1051.41,7.20721,0,7.20721,0
1053.64,7.30731,0,7.30731,0
1055.86,7.40741,0,7.40741,0
1058.08,7.50751,0,7.50751,0
1060.3,7.60761,0,7.60761,0
1062.52,7.70771,0,7.70771,0
1064.74,7.80781,0,7.80781,0
1066.96,7.90791,0,7.90791,0
1069.18,8.00801,0,8.00801,0
1071.37,8.10811,0,8.10811,0
1073.56,8.20821,0,8.20821,0
1075.75,8.30831,0,8.30831,0
1077.94,8.40841,0,8.40841,0
1080.13,8.50851,0,8.50851,0
1082.32,8.60861,0,8.60861,0
1084.51,8.70871,0,8.70871,0
1086.71,8.80881,0,8.80881,0
1088.9,8.90891,0,8.90891,0
1091.08,9.00901,0,9.00901,0
1093.24,9.10911,0,9.10911,0
1095.4,9.20921,0,9.20921,0
1097.56,9.30931,0,9.30931,0
1099.72,9.40941,0,9.40941,0
1101.88,9.50951,0,9.50951,0
1104.04,9.60961,0,9.60961,0
1106.19,9.70971,0,9.70971,0
1108.35,9.80981,0,9.80981,0
1110.51,9.90991,0,9.90991,0
1112.67,10.01,0,10.01,0
1114.79,10.1101,0,10.1101,0
1116.92,10.2102,0,10.2102,0
1119.04,10.3103,0,10.3103,0
1121.17,10.4104,0,10.4104,0
1123.29,10.5105,0,10.5105,0
1125.42,10.6106,0,10.6106,0
1127.55,10.7107,0,10.7107,0
1129.67,10.8108,0,10.8108,0
1131.8,10.9109,0,10.9109,0
1133.92,11.011,0,11.011,0
1136.01,11.1111,0,11.1111,0
1138.1,11.2112,0,11.2112,0
1140.19,11.3113,0,11.3113,0
1142.28,11.4114,0,11.4114,0
1144.37,11.5115,0,11.5115,0
1146.47,11.6116,0,11.6116,0
1148.56,11.7117,0,11.7117,0
1150.65,11.8118,0,11.8118,0
1152.74,11.9119,0,11.9119,0
1154.83,12.012,0,12.012,0
1156.88,12.1121,0,12.1121,0
1158.94,12.2122,0,12.2122,0
1160.99,12.3123,0,12.3123,0
1163.05,12.4124,0,12.4124,0
1165.1,12.5125,0,12.5125,0
1167.16,12.6126,0,12.6126,0
1169.22,12.7127,0,12.7127,0
1171.27,12.8128,0,12.8128,0
1173.33,12.9129,0,12.9129,0
1175.38,13.013,0,13.013,0
1177.4,13.1131,0,13.1131,0
1179.42,13.2132,0,13.2132,0
1181.43,13.3133,0,13.3133,0
1183.45,13.4134,0,13.4134,0
1185.47,13.5135,0,13.5135,0
1187.49,13.6136,0,13.6136,0
1189.51,13.7137,0,13.7137,0
1191.53,13.8138,0,13.8138,0
1193.55,13.9139,0,13.9139,0
1195.56,14.014,0,14.014,0
1197.54,14.1141,0,14.1141,0
1199.52,14.2142,0,14.2142,0
1201.5,14.3143,0,14.3143,0
1203.49,14.4144,0,14.4144,0
1205.47,14.5145,0,14.5145,0
1207.45,14.6146,0,14.6146,0
1209.43,14.7147,0,14.7147,0
1211.41,14.8148,0,14.8148,0
1213.39,14.9149,0,14.9149,0
1215.37,15.015,0,15.015,0
1217.31,15.1151,0,15.1151,0
1219.25,15.2152,0,15.2152,0
1221.19,15.3153,0,15.3153,0
1223.13,15.4154,0,15.4154,0
1225.08,15.5155,0,15.5155,0
1227.02,15.6156,0,15.6156,0
1228.96,15.7157,0,15.7157,0
1230.9,15.8158,0,15.8158,0
1232.84,15.9159,0,15.9159,0
1234.78,16.016,0,16.016,0
1236.68,16.1161,0,16.1161,0
1238.58,16.2162,0,16.2162,0
1240.49,16.3163,0,16.3163,0
1242.39,16.4164,0,16.4164,0
1244.29,16.5165,0,16.5165,0
1246.19,16.6166,0,16.6166,0
1248.09,16.7167,0,16.7167,0
1250,16.8168,0,16.8168,0
1251.9,16.9169,0,16.9169,0
1253.79,17.017,0,17.017,0
1255.65,17.1171,0,17.1171,0
1257.51,17.2172,0,17.2172,0
1259.37,17.3173,0,17.3173,0
1261.24,17.4174,0,17.4174,0
1263.1,17.5175,0,17.5175,0
1264.96,17.6176,0,17.6176,0
1266.82,17.7177,0,17.7177,0
1268.68,17.8178,0,17.8178,0
1270.54,17.9179,0,17.9179,0
1272.39,18.018,0,18.018,0
1274.21,18.1181,0,18.1181,0
1276.03,18.2182,0,18.2182,0
1277.85,18.3183,0,18.3183,0
1279.66,18.4184,0,18.4184,0
1281.48,18.5185,0,18.5185,0
1283.3,18.6186,0,18.6186,0
1285.12,18.7187,0,18.7187,0
1286.94,18.8188,0,18.8188,0
1288.76,18.9189,0,18.9189,0
1290.57,19.019,0,19.019,0
1292.34,19.1191,0,19.1191,0
1294.12,19.2192,0,19.2192,0
1295.89,19.3193,0,19.3193,0
1297.67,19.4194,0,19.4194,0
1299.44,19.5195,0,19.5195,0
1301.22,19.6196,0,19.6196,0
1302.99,19.7197,0,19.7197,0
1304.77,19.8198,0,19.8198,0
1306.54,19.9199,0,19.9199,0
1308.31,20.02,0,20.02,0
1310.04,20.1201,0,20.1201,0
1311.77,20.2202,0,20.2202,0
1313.5,20.3203,0,20.3203,0
1315.23,20.4204,0,20.4204,0
1316.96,20.5205,0,20.5205,0
1318.69,20.6206,0,20.6206,0
1320.42,20.7207,0,20.7207,0
1322.15,20.8208,0,20.8208,0
1323.88,20.9209,0,20.9209,0
1325.6,21.021,0,21.021,0
1327.29,21.1211,0,21.1211,0
1328.98,21.2212,0,21.2212,0
1330.66,21.3213,0,21.3213,0
1332.35,21.4214,0,21.4214,0
1334.03,21.5215,0,21.5215,0
1335.72,21.6216,0,21.6216,0
1337.4,21.7217,0,21.7217,0
1339.09,21.8218,0,21.8218,0
1340.77,21.9219,0,21.9219,0
1342.45,22.022,0,22.022,0
1344.09,22.1221,0,22.1221,0
1345.72,22.2222,0,22.2222,0
1347.36,22.3223,0,22.3223,0
1349,22.4224,0,22.4224,0
1350.64,22.5225,0,22.5225,0
1352.28,22.6226,0,22.6226,0
1353.92,22.7227,0,22.7227,0
1355.56,22.8228,0,22.8228,0
1357.2,22.9229,0,22.9229,0
1358.83,23.023,0,23.023,0
1360.42,23.1231,0,23.1231,0
1362.01,23.2232,0,23.2232,0
1363.6,23.3233,0,23.3233,0
1365.19,23.4234,0,23.4234,0
1366.78,23.5235,0,23.5235,0
1368.37,23.6236,0,23.6236,0
1369.97,23.7237,0,23.7237,0
1371.56,23.8238,0,23.8238,0
1373.15,23.9239,0,23.9239,0
1374.73,24.024,0,24.024,0
1376.27,24.1241,0,24.1241,0
1377.82,24.2242,0,24.2242,0
1379.36,24.3243,0,24.3243,0
1380.9,24.4244,0,24.4244,0
1382.45,24.5245,0,24.5245,0
1383.99,24.6246,0,24.6246,0
1385.53,24.7247,0,24.7247,0
1387.08,24.8248,0,24.8248,0
1388.62,24.9249,0,24.9249,0
1390.15,25.025,0,25.025,0
1391.65,25.1251,0,25.1251,0
1393.14,25.2252,0,25.2252,0
1394.63,25.3253,0,25.3253,0
1396.13,25.4254,0,25.4254,0
1397.62,25.5255,0,25.5255,0
1399.12,25.6256,0,25.6256,0
1400.61,25.7257,0,25.7257,0
1402.11,25.8258,0,25.8258,0
1403.6,25.9259,0,25.9259,0
1405.08,26.026,0,26.026,0
1406.53,26.1261,0,26.1261,0
1407.97,26.2262,0,26.2262,0
1409.42,26.3263,0,26.3263,0
1410.86,26.4264,0,26.4264,0
1412.3,26.5265,0,26.5265,0
1413.75,26.6266,0,26.6266,0
1415.19,26.7267,0,26.7267,0
1416.64,26.8268,0,26.8268,0
1418.08,26.9269,0,26.9269,0
1419.51,27.027,0,27.027,0
1420.91,27.1271,0,27.1271,0
1422.3,27.2272,0,27.2272,0
1423.69,27.3273,0,27.3273,0
1425.09,27.4274,0,27.4274,0
1426.48,27.5275,0,27.5275,0
1427.87,27.6276,0,27.6276,0
1429.27,27.7277,0,27.7277,0
1430.66,27.8278,0,27.8278,0
1432.05,27.9279,0,27.9279,0
1433.43,28.028,0,28.028,0
1434.78,28.1281,0,28.1281,0
1436.12,28.2282,0,28.2282,0
1437.46,28.3283,0,28.3283,0
1438.8,28.4284,0,28.4284,0
1440.14,28.5285,0,28.5285,0
1441.49,28.6286,0,28.6286,0
1442.83,28.7287,0,28.7287,0
1444.17,28.8288,0,28.8288,0
1445.51,28.9289,0,28.9289,0
1446.84,29.029,0,29.029,0
1448.13,29.1291,0,29.1291,0
1449.42,29.2292,0,29.2292,0
1450.71,29.3293,0,29.3293,0
1452,29.4294,0,29.4294,0
1453.29,29.5295,0,29.5295,0
1454.58,29.6296,0,29.6296,0
1455.87,29.7297,0,29.7297,0
1457.15,29.8298,0,29.8298,0
1458.44,29.9299,0,29.9299,0
1459.72,30.03,0,30.03,0
1460.95,30.1301,0,30.1301,0
1462.19,30.2302,0,30.2302,0
1463.43,30.3303,0,30.3303,0
1464.66,30.4304,0,30.4304,0
1465.9,30.5305,0,30.5305,0
1467.14,30.6306,0,30.6306,0
1468.37,30.7307,0,30.7307,0
1469.61,30.8308,0,30.8308,0
1470.85,30.9309,0,30.9309,0
1472.07,31.031,0,31.031,0
1473.25,31.1311,0,31.1311,0
1474.43,31.2312,0,31.2312,0
1475.61,31.3313,0,31.3313,0
1476.8,31.4314,0,31.4314,0
1477.98,31.5315,0,31.5315,0
1479.16,31.6316,0,31.6316,0
1480.35,31.7317,0,31.7317,0
1481.53,31.8318,0,31.8318,0
1482.71,31.9319,0,31.9319,0
1483.88,32.032,0,32.032,0
1485,32.1321,0,32.1321,0
1486.13,32.2322,0,32.2322,0
1487.26,32.3323,0,32.3323,0
1488.39,32.4324,0,32.4324,0
1489.52,32.5325,0,32.5325,0
1490.65,32.6326,0,32.6326,0
1491.77,32.7327,0,32.7327,0
1492.9,32.8328,0,32.8328,0
1494.03,32.9329,0,32.9329,0
1495.14,33.033,0,33.033,0
1496.21,33.1331,0,33.1331,0
1497.29,33.2332,0,33.2332,0
1498.36,33.3333,0,33.3333,0
1499.43,33.4334,0,33.4334,0
1500.51,33.5335,0,33.5335,0
1501.58,33.6336,0,33.6336,0
1502.65,33.7337,0,33.7337,0
1503.72,33.8338,0,33.8338,0
1504.8,33.9339,0,33.9339,0
1505.85,34.034,0,34.034,0
1506.87,34.1341,0,34.1341,0
1507.89,34.2342,0,34.2342,0
1508.9,34.3343,0,34.3343,0
1509.92,34.4344,0,34.4344,0
1510.94,34.5345,0,34.5345,0
1511.96,34.6346,0,34.6346,0
1512.97,34.7347,0,34.7347,0
1513.99,34.8348,0,34.8348,0
1515.01,34.9349,0,34.9349,0
1516,35.035,0,35.035,0
1516.97,35.1351,0,35.1351,0
1517.93,35.2352,0,35.2352,0
1518.89,35.3353,0,35.3353,0
1519.85,35.4354,0,35.4354,0
1520.81,35.5355,0,35.5355,0
1521.77,35.6356,0,35.6356,0
1522.73,35.7357,0,35.7357,0
1523.69,35.8358,0,35.8358,0
1524.65,35.9359,0,35.9359,0
1525.59,36.036,0,36.036,0
1526.5,36.1361,0,36.1361,0
1527.4,36.2362,0,36.2362,0
1528.31,36.3363,0,36.3363,0
1529.21,36.4364,0,36.4364,0
