T,id,x,y,z
531.819,0,0.505,0,0
532.01,0.1001,0.505,0.1001,0
532.201,0.2002,0.505,0.2002,0
532.392,0.3003,0.505,0.3003,0
532.583,0.4004,0.505,0.4004,0
532.774,0.500501,0.505,0.500501,0
532.965,0.600601,0.505,0.600601,0
533.157,0.700701,0.505,0.700701,0
533.348,0.800801,0.505,0.800801,0
533.539,0.900901,0.505,0.900901,0
533.73,1.001,0.505,1.001,0
533.966,1.1011,0.505,1.1011,0
534.202,1.2012,0.505,1.2012,0
534.438,1.3013,0.505,1.3013,0
534.674,1.4014,0.505,1.4014,0
534.91,1.5015,0.505,1.5015,0
535.146,1.6016,0.505,1.6016,0
535.382,1.7017,0.505,1.7017,0
535.618,1.8018,0.505,1.8018,0
535.854,1.9019,0.505,1.9019,0
536.09,2.002,0.505,2.002,0
536.32,2.1021,0.505,2.1021,0
536.55,2.2022,0.505,2.2022,0
536.78,2.3023,0.505,2.3023,0
537.01,2.4024,0.505,2.4024,0
537.24,2.5025,0.505,2.5025,0
537.47,2.6026,0.505,2.6026,0
537.7,2.7027,0.505,2.7027,0
537.931,2.8028,0.505,2.8028,0
538.161,2.9029,0.505,2.9029,0
538.391,3.003,0.505,3.003,0
538.622,3.1031,0.505,3.1031,0
538.853,3.2032,0.505,3.2032,0
539.083,3.3033,0.505,3.3033,0
539.314,3.4034,0.505,3.4034,0
539.545,3.5035,0.505,3.5035,0
539.776,3.6036,0.505,3.6036,0
540.007,3.7037,0.505,3.7037,0
540.238,3.8038,0.505,3.8038,0
540.469,3.9039,0.505,3.9039,0
540.7,4.004,0.505,4.004,0
540.93,4.1041,0.505,4.1041,0
541.161,4.2042,0.505,4.2042,0
541.392,4.3043,0.505,4.3043,0
541.622,4.4044,0.505,4.4044,0
541.853,4.5045,0.505,4.5045,0
542.084,4.6046,0.505,4.6046,0
542.314,4.7047,0.505,4.7047,0
542.545,4.8048,0.505,4.8048,0
542.776,4.9049,0.505,4.9049,0
543.006,5.00501,0.505,5.00501,0
543.237,5.10511,0.505,5.10511,0
543.467,5.20521,0.505,5.20521,0
543.697,5.30531,0.505,5.30531,0
543.928,5.40541,0.505,5.40541,0
544.158,5.50551,0.505,5.50551,0
544.389,5.60561,0.505,5.60561,0
544.619,5.70571,0.505,5.70571,0
544.849,5.80581,0.505,5.80581,0
545.08,5.90591,0.505,5.90591,0
545.31,6.00601,0.505,6.00601,0
545.54,6.10611,0.505,6.10611,0
545.77,6.20621,0.505,6.20621,0
546,6.30631,0.505,6.30631,0
546.23,6.40641,0.505,6.40641,0
546.46,6.50651,0.505,6.50651,0
546.69,6.60661,0.505,6.60661,0
546.92,6.70671,0.505,6.70671,0
547.15,6.80681,0.505,6.80681,0
547.38,6.90691,0.505,6.90691,0
547.61,7.00701,0.505,7.00701,0
547.839,7.10711,0.505,7.10711,0
548.069,7.20721,0.505,7.20721,0
548.298,7.30731,0.505,7.30731,0
548.528,7.40741,0.505,7.40741,0
548.757,7.50751,0.505,7.50751,0
548.986,7.60761,0.505,7.60761,0
549.216,7.70771,0.505,7.70771,0
549.445,7.80781,0.505,7.80781,0
549.675,7.90791,0.505,7.90791,0
549.904,8.00801,0.505,8.00801,0
550.133,8.10811,0.505,8.10811,0
550.362,8.20821,0.505,8.20821,0
550.59,8.30831,0.505,8.30831,0
550.819,8.40841,0.505,8.40841,0
551.048,8.50851,0.505,8.50851,0
551.277,8.60861,0.505,8.60861,0
551.506,8.70871,0.505,8.70871,0
551.734,8.80881,0.505,8.80881,0
551.963,8.90891,0.505,8.90891,0
552.192,9.00901,0.505,9.00901,0
552.42,9.10911,0.505,9.10911,0
552.648,9.20921,0.505,9.20921,0
552.876,9.30931,0.505,9.30931,0
553.104,9.40941,0.505,9.40941,0
553.332,9.50951,0.505,9.50951,0
553.56,9.60961,0.505,9.60961,0
553.788,9.70971,0.505,9.70971,0
554.016,9.80981,0.505,9.80981,0
554.243,9.90991,0.505,9.90991,0
554.471,10.01,0.505,10.01,0
554.698,10.1101,0.505,10.1101,0
554.925,10.2102,0.505,10.2102,0
555.152,10.3103,0.505,10.3103,0
555.379,10.4104,0.505,10.4104,0
555.607,10.5105,0.505,10.5105,0
555.834,10.6106,0.505,10.6106,0
556.061,10.7107,0.505,10.7107,0
556.288,10.8108,0.505,10.8108,0
556.515,10.9109,0.505,10.9109,0
556.742,11.011,0.505,11.011,0
556.968,11.1111,0.505,11.1111,0
557.193,11.2112,0.505,11.2112,0
557.419,11.3113,0.505,11.3113,0
557.645,11.4114,0.505,11.4114,0
557.871,11.5115,0.505,11.5115,0
558.097,11.6116,0.505,11.6116,0
558.323,11.7117,0.505,11.7117,0
558.549,11.8118,0.505,11.8118,0
558.775,11.9119,0.505,11.9119,0
559.001,12.012,0.505,12.012,0
559.226,12.1121,0.505,12.1121,0
559.451,12.2122,0.505,12.2122,0
559.675,12.3123,0.505,12.3123,0
559.9,12.4124,0.505,12.4124,0
560.125,12.5125,0.505,12.5125,0
560.35,12.6126,0.505,12.6126,0
560.575,12.7127,0.505,12.7127,0
560.799,12.8128,0.505,12.8128,0
561.024,12.9129,0.505,12.9129,0
561.249,13.013,0.505,13.013,0
561.472,13.1131,0.505,13.1131,0
561.696,13.2132,0.505,13.2132,0
561.919,13.3133,0.505,13.3133,0
562.142,13.4134,0.505,13.4134,0
562.366,13.5135,0.505,13.5135,0
562.589,13.6136,0.505,13.6136,0
562.813,13.7137,0.505,13.7137,0
563.036,13.8138,0.505,13.8138,0
563.26,13.9139,0.505,13.9139,0
563.483,14.014,0.505,14.014,0
563.705,14.1141,0.505,14.1141,0
563.927,14.2142,0.505,14.2142,0
564.149,14.3143,0.505,14.3143,0
564.371,14.4144,0.505,14.4144,0
564.593,14.5145,0.505,14.5145,0
564.815,14.6146,0.505,14.6146,0
565.037,14.7147,0.505,14.7147,0
565.259,14.8148,0.505,14.8148,0
565.481,14.9149,0.505,14.9149,0
565.703,15.015,0.505,15.015,0
565.923,15.1151,0.505,15.1151,0
566.143,15.2152,0.505,15.2152,0
566.364,15.3153,0.505,15.3153,0
566.584,15.4154,0.505,15.4154,0
566.805,15.5155,0.505,15.5155,0
567.025,15.6156,0.505,15.6156,0
567.246,15.7157,0.505,15.7157,0
567.466,15.8158,0.505,15.8158,0
567.686,15.9159,0.505,15.9159,0
