T,id,x,y,z
973.065,0,0,0,0
975.539,0.1001,0,0.1001,0
978.013,0.2002,0,0.2002,0
980.487,0.3003,0,0.3003,0
982.961,0.4004,0,0.4004,0
985.435,0.500501,0,0.500501,0
987.909,0.600601,0,0.600601,0
990.383,0.700701,0,0.700701,0
992.857,0.800801,0,0.800801,0
995.331,0.900901,0,0.900901,0
997.811,1.001,0,1.001,0
1000.82,1.1011,0,1.1011,0
1003.83,1.2012,0,1.2012,0
1006.84,1.3013,0,1.3013,0
1009.86,1.4014,0,1.4014,0
1012.87,1.5015,0,1.5015,0
1015.88,1.6016,0,1.6016,0
1018.89,1.7017,0,1.7017,0
1021.9,1.8018,0,1.8018,0
1024.91,1.9019,0,1.9019,0
1027.92,2.002,0,2.002,0
1030.82,2.1021,0,2.1021,0
1033.72,2.2022,0,2.2022,0
1036.61,2.3023,0,2.3023,0
1039.51,2.4024,0,2.4024,0
1042.41,2.5025,0,2.5025,0
1045.31,2.6026,0,2.6026,0
1048.2,2.7027,0,2.7027,0
1051.1,2.8028,0,2.8028,0
1054,2.9029,0,2.9029,0
1056.9,3.003,0,3.003,0
1059.78,3.1031,0,3.1031,0
1062.66,3.2032,0,3.2032,0
1065.54,3.3033,0,3.3033,0
1068.41,3.4034,0,3.4034,0
1071.29,3.5035,0,3.5035,0
1074.17,3.6036,0,3.6036,0
1077.05,3.7037,0,3.7037,0
1079.93,3.8038,0,3.8038,0
1082.81,3.9039,0,3.9039,0
1085.69,4.004,0,4.004,0
1088.54,4.1041,0,4.1041,0
1091.38,4.2042,0,4.2042,0
1094.23,4.3043,0,4.3043,0
1097.07,4.4044,0,4.4044,0
1099.92,4.5045,0,4.5045,0
1102.77,4.6046,0,4.6046,0
1105.61,4.7047,0,4.7047,0
1108.46,4.8048,0,4.8048,0
1111.3,4.9049,0,4.9049,0
1114.15,5.00501,0,5.00501,0
1116.96,5.10511,0,5.10511,0
1119.77,5.20521,0,5.20521,0
1122.58,5.30531,0,5.30531,0
1125.4,5.40541,0,5.40541,0
1128.21,5.50551,0,5.50551,0
1131.02,5.60561,0,5.60561,0
1133.83,5.70571,0,5.70571,0
1136.65,5.80581,0,5.80581,0
1139.46,5.90591,0,5.90591,0
1142.27,6.00601,0,6.00601,0
1145.05,6.10611,0,6.10611,0
1147.82,6.20621,0,6.20621,0
1150.6,6.30631,0,6.30631,0
1153.38,6.40641,0,6.40641,0
1156.15,6.50651,0,6.50651,0
1158.93,6.60661,0,6.60661,0
1161.71,6.70671,0,6.70671,0
1164.48,6.80681,0,6.80681,0
1167.26,6.90691,0,6.90691,0
1170.04,7.00701,0,7.00701,0
1172.78,7.10711,0,7.10711,0
1175.52,7.20721,0,7.20721,0
1178.26,7.30731,0,7.30731,0
1181,7.40741,0,7.40741,0
1183.74,7.50751,0,7.50751,0
1186.48,7.60761,0,7.60761,0
1189.22,7.70771,0,7.70771,0
1191.96,7.80781,0,7.80781,0
1194.7,7.90791,0,7.90791,0
1197.43,8.00801,0,8.00801,0
1200.13,8.10811,0,8.10811,0
1202.84,8.20821,0,8.20821,0
1205.54,8.30831,0,8.30831,0
1208.24,8.40841,0,8.40841,0
1210.94,8.50851,0,8.50851,0
1213.64,8.60861,0,8.60861,0
1216.34,8.70871,0,8.70871,0
1219.04,8.80881,0,8.80881,0
1221.75,8.90891,0,8.90891,0
1224.44,9.00901,0,9.00901,0
1227.11,9.10911,0,9.10911,0
1229.77,9.20921,0,9.20921,0
1232.43,9.30931,0,9.30931,0
1235.09,9.40941,0,9.40941,0
1237.75,9.50951,0,9.50951,0
