T,id,x,y,z
613.101,0,0.5,0,0
613.701,0.1001,0.5,0.1001,0
614.301,0.2002,0.5,0.2002,0
614.901,0.3003,0.5,0.3003,0
615.502,0.4004,0.5,0.4004,0
616.102,0.500501,0.5,0.500501,0
616.702,0.600601,0.5,0.600601,0
617.302,0.700701,0.5,0.700701,0
617.902,0.800801,0.5,0.800801,0
618.502,0.900901,0.5,0.900901,0
619.104,1.001,0.5,1.001,0
619.842,1.1011,0.5,1.1011,0
620.579,1.2012,0.5,1.2012,0
621.317,1.3013,0.5,1.3013,0
622.054,1.4014,0.5,1.4014,0
622.792,1.5015,0.5,1.5015,0
623.53,1.6016,0.5,1.6016,0
624.267,1.7017,0.5,1.7017,0
625.005,1.8018,0.5,1.8018,0
625.743,1.9019,0.5,1.9019,0
626.48,2.002,0.5,2.002,0
627.193,2.1021,0.5,2.1021,0
627.907,2.2022,0.5,2.2022,0
628.621,2.3023,0.5,2.3023,0
629.334,2.4024,0.5,2.4024,0
630.048,2.5025,0.5,2.5025,0
630.762,2.6026,0.5,2.6026,0
631.475,2.7027,0.5,2.7027,0
632.189,2.8028,0.5,2.8028,0
632.903,2.9029,0.5,2.9029,0
633.616,3.003,0.5,3.003,0
634.327,3.1031,0.5,3.1031,0
635.038,3.2032,0.5,3.2032,0
635.749,3.3033,0.5,3.3033,0
636.459,3.4034,0.5,3.4034,0
637.17,3.5035,0.5,3.5035,0
637.881,3.6036,0.5,3.6036,0
638.592,3.7037,0.5,3.7037,0
639.302,3.8038,0.5,3.8038,0
640.013,3.9039,0.5,3.9039,0
640.723,4.004,0.5,4.004,0
641.428,4.1041,0.5,4.1041,0
642.132,4.2042,0.5,4.2042,0
642.837,4.3043,0.5,4.3043,0
643.541,4.4044,0.5,4.4044,0
644.246,4.5045,0.5,4.5045,0
644.95,4.6046,0.5,4.6046,0
645.655,4.7047,0.5,4.7047,0
646.359,4.8048,0.5,4.8048,0
647.064,4.9049,0.5,4.9049,0
647.768,5.00501,0.5,5.00501,0
648.466,5.10511,0.5,5.10511,0
649.164,5.20521,0.5,5.20521,0
649.862,5.30531,0.5,5.30531,0
650.561,5.40541,0.5,5.40541,0
651.259,5.50551,0.5,5.50551,0
651.957,5.60561,0.5,5.60561,0
652.655,5.70571,0.5,5.70571,0
653.354,5.80581,0.5,5.80581,0
654.052,5.90591,0.5,5.90591,0
654.75,6.00601,0.5,6.00601,0
655.441,6.10611,0.5,6.10611,0
656.133,6.20621,0.5,6.20621,0
656.824,6.30631,0.5,6.30631,0
657.515,6.40641,0.5,6.40641,0
658.207,6.50651,0.5,6.50651,0
658.898,6.60661,0.5,6.60661,0
659.59,6.70671,0.5,6.70671,0
660.281,6.80681,0.5,6.80681,0
660.973,6.90691,0.5,6.90691,0
661.664,7.00701,0.5,7.00701,0
662.348,7.10711,0.5,7.10711,0
663.033,7.20721,0.5,7.20721,0
663.717,7.30731,0.5,7.30731,0
664.401,7.40741,0.5,7.40741,0
665.086,7.50751,0.5,7.50751,0
665.77,7.60761,0.5,7.60761,0
666.455,7.70771,0.5,7.70771,0
