T,id,x,y,z
1879.76,0,0,52.1,0
1879.72,0.000605606,0.000605606,52.1,0
1879.68,0.00121121,0.00121121,52.1,0
1879.64,0.00181682,0.00181682,52.1,0
1879.59,0.00242242,0.00242242,52.1,0
1879.55,0.00302803,0.00302803,52.1,0
1879.51,0.00363363,0.00363363,52.1,0
1879.47,0.00423924,0.00423924,52.1,0
1879.43,0.00484484,0.00484484,52.1,0
1879.39,0.00545045,0.00545045,52.1,0
1879.35,0.00605606,0.00605606,52.1,0
1879.31,0.00666166,0.00666166,52.1,0
1879.27,0.00726727,0.00726727,52.1,0
1879.23,0.00787287,0.00787287,52.1,0
1879.19,0.00847848,0.00847848,52.1,0
1879.14,0.00908408,0.00908408,52.1,0
1879.1,0.00968969,0.00968969,52.1,0
1879.06,0.0102953,0.0102953,52.1,0
1879.02,0.0109009,0.0109009,52.1,0
1878.98,0.0115065,0.0115065,52.1,0
1878.94,0.0121121,0.0121121,52.1,0
1878.9,0.0127177,0.0127177,52.1,0
1878.86,0.0133233,0.0133233,52.1,0
1878.82,0.0139289,0.0139289,52.1,0
1878.78,0.0145345,0.0145345,52.1,0
1878.7,0.0151401,0.0151401,52.1,0
1878.6,0.0157457,0.0157457,52.1,0
1878.51,0.0163514,0.0163514,52.1,0
1878.41,0.016957,0.016957,52.1,0
1878.32,0.0175626,0.0175626,52.1,0
1878.22,0.0181682,0.0181682,52.1,0
1878.12,0.0187738,0.0187738,52.1,0
1878.03,0.0193794,0.0193794,52.1,0
1877.93,0.019985,0.019985,52.1,0
1877.84,0.0205906,0.0205906,52.1,0
1877.74,0.0211962,0.0211962,52.1,0
1877.65,0.0218018,0.0218018,52.1,0
1877.55,0.0224074,0.0224074,52.1,0
1877.46,0.023013,0.023013,52.1,0
1877.36,0.0236186,0.0236186,52.1,0
1877.27,0.0242242,0.0242242,52.1,0
1877.17,0.0248298,0.0248298,52.1,0
1877.07,0.0254354,0.0254354,52.1,0
1876.98,0.026041,0.026041,52.1,0
1876.88,0.0266466,0.0266466,52.1,0
1876.79,0.0272523,0.0272523,52.1,0
1876.69,0.0278579,0.0278579,52.1,0
1876.6,0.0284635,0.0284635,52.1,0
1876.5,0.0290691,0.0290691,52.1,0
1876.38,0.0296747,0.0296747,52.1,0
1876.22,0.0302803,0.0302803,52.1,0
1876.07,0.0308859,0.0308859,52.1,0
1875.91,0.0314915,0.0314915,52.1,0
1875.76,0.0320971,0.0320971,52.1,0
1875.6,0.0327027,0.0327027,52.1,0
1875.45,0.0333083,0.0333083,52.1,0
1875.29,0.0339139,0.0339139,52.1,0
1875.14,0.0345195,0.0345195,52.1,0
1874.98,0.0351251,0.0351251,52.1,0
1874.82,0.0357307,0.0357307,52.1,0
1874.67,0.0363363,0.0363363,52.1,0
1874.51,0.0369419,0.0369419,52.1,0
1874.36,0.0375475,0.0375475,52.1,0
1874.2,0.0381532,0.0381532,52.1,0
1874.05,0.0387588,0.0387588,52.1,0
1873.89,0.0393644,0.0393644,52.1,0
1873.73,0.03997,0.03997,52.1,0
1873.58,0.0405756,0.0405756,52.1,0
1873.42,0.0411812,0.0411812,52.1,0
1873.27,0.0417868,0.0417868,52.1,0
1873.11,0.0423924,0.0423924,52.1,0
1872.96,0.042998,0.042998,52.1,0
1872.8,0.0436036,0.0436036,52.1,0
1872.64,0.0442092,0.0442092,52.1,0
1872.42,0.0448148,0.0448148,52.1,0
1872.2,0.0454204,0.0454204,52.1,0
1871.99,0.046026,0.046026,52.1,0
1871.77,0.0466316,0.0466316,52.1,0
1871.55,0.0472372,0.0472372,52.1,0
1871.34,0.0478428,0.0478428,52.1,0
1871.12,0.0484484,0.0484484,52.1,0
1870.9,0.0490541,0.0490541,52.1,0
1870.69,0.0496597,0.0496597,52.1,0
1870.47,0.0502653,0.0502653,52.1,0
1870.25,0.0508709,0.0508709,52.1,0
1870.04,0.0514765,0.0514765,52.1,0
1869.82,0.0520821,0.0520821,52.1,0
1869.6,0.0526877,0.0526877,52.1,0
1869.39,0.0532933,0.0532933,52.1,0
1869.17,0.0538989,0.0538989,52.1,0
1868.95,0.0545045,0.0545045,52.1,0
1868.74,0.0551101,0.0551101,52.1,0
1868.52,0.0557157,0.0557157,52.1,0
1868.3,0.0563213,0.0563213,52.1,0
1868.09,0.0569269,0.0569269,52.1,0
1867.87,0.0575325,0.0575325,52.1,0
1867.65,0.0581381,0.0581381,52.1,0
1867.44,0.0587437,0.0587437,52.1,0
1867.17,0.0593493,0.0593493,52.1,0
1866.89,0.059955,0.059955,52.1,0
1866.61,0.0605606,0.0605606,52.1,0
1866.33,0.0611662,0.0611662,52.1,0
1866.05,0.0617718,0.0617718,52.1,0
1865.77,0.0623774,0.0623774,52.1,0
1865.5,0.062983,0.062983,52.1,0
1865.22,0.0635886,0.0635886,52.1,0
1864.94,0.0641942,0.0641942,52.1,0
1864.66,0.0647998,0.0647998,52.1,0
1864.38,0.0654054,0.0654054,52.1,0
1864.1,0.066011,0.066011,52.1,0
1863.83,0.0666166,0.0666166,52.1,0
1863.55,0.0672222,0.0672222,52.1,0
1863.27,0.0678278,0.0678278,52.1,0
1862.99,0.0684334,0.0684334,52.1,0
1862.71,0.069039,0.069039,52.1,0
1862.43,0.0696446,0.0696446,52.1,0
1862.16,0.0702503,0.0702503,52.1,0
1861.88,0.0708559,0.0708559,52.1,0
1861.6,0.0714615,0.0714615,52.1,0
1861.32,0.0720671,0.0720671,52.1,0
1861.04,0.0726727,0.0726727,52.1,0
1860.76,0.0732783,0.0732783,52.1,0
1860.45,0.0738839,0.0738839,52.1,0
1860.11,0.0744895,0.0744895,52.1,0
1859.77,0.0750951,0.0750951,52.1,0
1859.43,0.0757007,0.0757007,52.1,0
1859.09,0.0763063,0.0763063,52.1,0
1858.75,0.0769119,0.0769119,52.1,0
1858.41,0.0775175,0.0775175,52.1,0
1858.07,0.0781231,0.0781231,52.1,0
1857.73,0.0787287,0.0787287,52.1,0
1857.39,0.0793343,0.0793343,52.1,0
1857.05,0.0799399,0.0799399,52.1,0
1856.71,0.0805455,0.0805455,52.1,0
1856.37,0.0811512,0.0811512,52.1,0
1856.03,0.0817568,0.0817568,52.1,0
1855.68,0.0823624,0.0823624,52.1,0
1855.34,0.082968,0.082968,52.1,0
1855,0.0835736,0.0835736,52.1,0
1854.66,0.0841792,0.0841792,52.1,0
1854.32,0.0847848,0.0847848,52.1,0
1853.98,0.0853904,0.0853904,52.1,0
1853.64,0.085996,0.085996,52.1,0
1853.3,0.0866016,0.0866016,52.1,0
1852.96,0.0872072,0.0872072,52.1,0
1852.62,0.0878128,0.0878128,52.1,0
1852.26,0.0884184,0.0884184,52.1,0
1851.86,0.089024,0.089024,52.1,0
1851.46,0.0896296,0.0896296,52.1,0
1851.05,0.0902352,0.0902352,52.1,0
1850.65,0.0908408,0.0908408,52.1,0
1850.25,0.0914464,0.0914464,52.1,0
1849.84,0.0920521,0.0920521,52.1,0
1849.44,0.0926577,0.0926577,52.1,0
1849.04,0.0932633,0.0932633,52.1,0
1848.64,0.0938689,0.0938689,52.1,0
1848.23,0.0944745,0.0944745,52.1,0
1847.83,0.0950801,0.0950801,52.1,0
1847.43,0.0956857,0.0956857,52.1,0
1847.02,0.0962913,0.0962913,52.1,0
1846.62,0.0968969,0.0968969,52.1,0
1846.22,0.0975025,0.0975025,52.1,0
1845.82,0.0981081,0.0981081,52.1,0
1845.41,0.0987137,0.0987137,52.1,0
1845.01,0.0993193,0.0993193,52.1,0
1844.61,0.0999249,0.0999249,52.1,0
1844.2,0.100531,0.100531,52.1,0
1843.8,0.101136,0.101136,52.1,0
1843.4,0.101742,0.101742,52.1,0
1842.99,0.102347,0.102347,52.1,0
1842.59,0.102953,0.102953,52.1,0
1842.12,0.103559,0.103559,52.1,0
1841.66,0.104164,0.104164,52.1,0
1841.19,0.10477,0.10477,52.1,0
1840.73,0.105375,0.105375,52.1,0
1840.26,0.105981,0.105981,52.1,0
1839.79,0.106587,0.106587,52.1,0
1839.33,0.107192,0.107192,52.1,0
1838.86,0.107798,0.107798,52.1,0
1838.4,0.108403,0.108403,52.1,0
1837.93,0.109009,0.109009,52.1,0
1837.46,0.109615,0.109615,52.1,0
1837,0.11022,0.11022,52.1,0
1836.53,0.110826,0.110826,52.1,0
1836.07,0.111431,0.111431,52.1,0
1835.6,0.112037,0.112037,52.1,0
1835.13,0.112643,0.112643,52.1,0
1834.67,0.113248,0.113248,52.1,0
1834.2,0.113854,0.113854,52.1,0
1833.74,0.114459,0.114459,52.1,0
1833.27,0.115065,0.115065,52.1,0
1832.8,0.115671,0.115671,52.1,0
1832.34,0.116276,0.116276,52.1,0
1831.87,0.116882,0.116882,52.1,0
1831.41,0.117487,0.117487,52.1,0
1830.89,0.118093,0.118093,52.1,0
1830.36,0.118699,0.118699,52.1,0
1829.83,0.119304,0.119304,52.1,0
1829.31,0.11991,0.11991,52.1,0
1828.78,0.120516,0.120516,52.1,0
1828.25,0.121121,0.121121,52.1,0
1827.72,0.121727,0.121727,52.1,0
1827.19,0.122332,0.122332,52.1,0
1826.66,0.122938,0.122938,52.1,0
1826.13,0.123544,0.123544,52.1,0
1825.6,0.124149,0.124149,52.1,0
1825.07,0.124755,0.124755,52.1,0
1824.54,0.12536,0.12536,52.1,0
1824.01,0.125966,0.125966,52.1,0
1823.48,0.126572,0.126572,52.1,0
1822.95,0.127177,0.127177,52.1,0
1822.42,0.127783,0.127783,52.1,0
1821.89,0.128388,0.128388,52.1,0
1821.36,0.128994,0.128994,52.1,0
1820.83,0.1296,0.1296,52.1,0
1820.3,0.130205,0.130205,52.1,0
1819.77,0.130811,0.130811,52.1,0
1819.24,0.131416,0.131416,52.1,0
1818.71,0.132022,0.132022,52.1,0
1818.15,0.132628,0.132628,52.1,0
1817.56,0.133233,0.133233,52.1,0
1816.97,0.133839,0.133839,52.1,0
1816.37,0.134444,0.134444,52.1,0
1815.78,0.13505,0.13505,52.1,0
1815.18,0.135656,0.135656,52.1,0
1814.59,0.136261,0.136261,52.1,0
1814,0.136867,0.136867,52.1,0
1813.4,0.137472,0.137472,52.1,0
1812.81,0.138078,0.138078,52.1,0
1812.22,0.138684,0.138684,52.1,0
1811.62,0.139289,0.139289,52.1,0
1811.03,0.139895,0.139895,52.1,0
1810.43,0.140501,0.140501,52.1,0
1809.84,0.141106,0.141106,52.1,0
1809.25,0.141712,0.141712,52.1,0
1808.65,0.142317,0.142317,52.1,0
1808.06,0.142923,0.142923,52.1,0
1807.46,0.143529,0.143529,52.1,0
1806.87,0.144134,0.144134,52.1,0
1806.28,0.14474,0.14474,52.1,0
1805.68,0.145345,0.145345,52.1,0
1805.09,0.145951,0.145951,52.1,0
1804.5,0.146557,0.146557,52.1,0
1803.89,0.147162,0.147162,52.1,0
1803.23,0.147768,0.147768,52.1,0
1802.57,0.148373,0.148373,52.1,0
1801.91,0.148979,0.148979,52.1,0
1801.26,0.149585,0.149585,52.1,0
1800.6,0.15019,0.15019,52.1,0
1799.94,0.150796,0.150796,52.1,0
1799.28,0.151401,0.151401,52.1,0
1798.62,0.152007,0.152007,52.1,0
1797.96,0.152613,0.152613,52.1,0
1797.3,0.153218,0.153218,52.1,0
1796.64,0.153824,0.153824,52.1,0
1795.98,0.154429,0.154429,52.1,0
1795.33,0.155035,0.155035,52.1,0
1794.67,0.155641,0.155641,52.1,0
1794.01,0.156246,0.156246,52.1,0
