time,T_CI,T_S,dt,max_T,min_T
0,0,0,0,580,0
200,580.95335469474,585.86779745304,200,593.2463035229,583.1716614633
600,581.74227354267,596.68411181962,400,619.61504610498,589.56979300283
1400,583.31925289702,618.06627123984,800,674.16285513217,601.75133101334
3000,586.47294546684,659.86105761238,1600,790.53376530277,624.96779651193
6200,592.67435596846,739.44294386956,3200,1052.2859059797,669.86907035532
9400,598.92342544088,813.62975443803,3200,1356.4211598539,712.7651773049
15800,601.66446788779,844.50019742887,6400,1502.7288955625,730.98711027802
28600,601.6668568276,844.7257922267,12800,1503.3685525555,731.06444207389
54200,601.66729598548,845.12544588995,25600,1504.3425907641,731.19156268073

